Potential (V),Current (uA)
-0.499905,0.011132751000000001
-0.49792899999999995,-0.020171112
-0.495953,-0.021694306
-0.493977,-0.022567902
-0.49200099999999997,-0.022982298
-0.49002599999999996,-0.023049498000000005
-0.48805,-0.023273496
-0.48607399999999995,-0.023559096
-0.484098,-0.023671096000000003
-0.482122,-0.024018294000000003
-0.48014599999999996,-0.023889494
-0.47817,-0.024124694000000002
-0.476194,-0.024197494000000003
-0.474218,-0.024477492000000003
-0.472242,-0.024443892000000002
-0.47026599999999996,-0.024449492
-0.46829099999999996,-0.02490869
-0.466315,-0.02466789
-0.464339,-0.02462309
-0.46236299999999997,-0.02505429
-0.460387,-0.024880692
-0.45841099999999996,-0.024673492
-0.456435,-0.025239088000000003
-0.454459,-0.024768690000000003
-0.45248299999999997,-0.02474629
-0.450507,-0.025093490000000003
-0.44853099999999996,-0.02469029
-0.446555,-0.02493669
-0.44458,-0.025104690000000002
-0.442604,-0.025664686000000003
-0.44062799999999996,-0.025468688
-0.438652,-0.025267090000000002
-0.43667599999999995,-0.025866286000000002
-0.4347,-0.025563886000000004
-0.432724,-0.025597486000000003
-0.43074799999999996,-0.025211088000000003
-0.428772,-0.025586286000000003
-0.42679599999999995,-0.025468688
-0.42482,-0.025334290000000002
-0.42284499999999997,-0.025608686000000002
-0.420869,-0.025457488
-0.41889299999999996,-0.025547088000000003
-0.416917,-0.025300690000000004
-0.414941,-0.025373488000000003
-0.41296499999999997,-0.025771086000000002
-0.410989,-0.025759886
-0.40901299999999996,-0.025423888000000002
-0.407037,-0.025804686
-0.405061,-0.026056686000000003
-0.40308499999999997,-0.025597486000000003
-0.40110999999999997,-0.025894286000000002
-0.399134,-0.025737486000000004
-0.39715799999999996,-0.025832686000000004
-0.395182,-0.025681486000000003
-0.393206,-0.026051084000000002
-0.39122999999999997,-0.026067886000000002
-0.389254,-0.025927886
-0.38727799999999996,-0.025899886
-0.385302,-0.025519088000000002
-0.383326,-0.026023086
-0.38134999999999997,-0.025939086000000004
-0.379374,-0.025972686000000002
-0.377399,-0.025995084
-0.375423,-0.026291884
-0.373447,-0.026051084000000002
-0.371471,-0.026118284000000002
-0.36949499999999996,-0.025603088000000003
-0.367519,-0.026140684
-0.365543,-0.025698288000000003
-0.363567,-0.025995084
-0.361591,-0.025698288000000003
-0.35961499999999996,-0.026056686000000003
-0.357639,-0.025922286
-0.355664,-0.025894286000000002
-0.353688,-0.025995084
-0.35171199999999997,-0.025692686000000003
-0.349736,-0.026196686000000004
-0.34775999999999996,-0.026280684000000002
-0.345784,-0.025810286
-0.343808,-0.026510284000000002
-0.34183199999999997,-0.026011886
-0.339856,-0.026280684000000002
-0.33787999999999996,-0.026577482000000003
-0.335904,-0.026011886
-0.333929,-0.026213484000000002
-0.331953,-0.026235884000000004
-0.32997699999999996,-0.026056686000000003
-0.328001,-0.026297484000000003
-0.326025,-0.026224684000000005
-0.324049,-0.026140684
-0.322073,-0.026353484000000003
-0.32009699999999996,-0.025810286
-0.318121,-0.026342284000000004
-0.316145,-0.026303084
-0.314169,-0.026224684000000005
-0.31219399999999997,-0.026280684000000002
-0.310218,-0.026157484
-0.30824199999999996,-0.026235884000000004
-0.306266,-0.026599882000000002
-0.30429,-0.026566284000000003
-0.30231399999999997,-0.026359084
-0.300338,-0.026135084000000003
-0.29836199999999996,-0.026493482000000002
-0.296386,-0.025883086000000003
-0.29441,-0.026247084000000004
-0.29243399999999997,-0.026000686000000002
-0.290458,-0.026297484000000003
-0.288483,-0.026471082000000003
-0.286507,-0.026062284
-0.284531,-0.026039884000000003
-0.282555,-0.025961486000000002
-0.28057899999999997,-0.026196686000000004
-0.278603,-0.026269484
-0.276627,-0.026588682000000002
-0.274651,-0.026011886
-0.272675,-0.026336684000000003
-0.27069899999999997,-0.026213484000000002
-0.268723,-0.026219086000000003
-0.266748,-0.026291884
-0.264772,-0.026084684000000004
-0.262796,-0.026426284
-0.26082,-0.026179884000000004
-0.25884399999999996,-0.026532684
-0.256868,-0.026627884
-0.254892,-0.026291884
-0.252916,-0.026370284
-0.25094,-0.026314284
-0.248964,-0.026101486000000004
-0.24698799999999999,-0.026303084
-0.24501299999999998,-0.026493482000000002
-0.24303699999999998,-0.026515882
-0.241061,-0.026129484
-0.239085,-0.026146284000000002
-0.237109,-0.026370284
-0.23513299999999998,-0.026359084
-0.233157,-0.026129484
-0.231181,-0.026790282000000002
-0.229205,-0.026459882
-0.227229,-0.026370284
-0.22525299999999998,-0.026207886000000003
-0.223277,-0.026611082
-0.221302,-0.026286284000000004
-0.219326,-0.026868682
-0.21735,-0.026342284000000004
-0.21537399999999998,-0.026415084000000002
-0.21339799999999998,-0.026398284
-0.211422,-0.026583082000000004
-0.209446,-0.026717482
-0.20747,-0.026465484
-0.20549399999999998,-0.026174286
-0.203518,-0.026695084
-0.201542,-0.026678282000000005
-0.199567,-0.026286284000000004
-0.197591,-0.026879882
-0.19561499999999998,-0.026504682
-0.19363899999999998,-0.026269484
-0.191663,-0.02689108
-0.189687,-0.026711882000000003
-0.187711,-0.026482282000000003
-0.18573499999999998,-0.026538282000000003
-0.18375899999999998,-0.026465484
-0.181783,-0.026599882000000002
-0.179807,-0.026515882
-0.177832,-0.026706284000000004
-0.17585599999999998,-0.026700682000000003
-0.17387999999999998,-0.026247084000000004
-0.171904,-0.026549482000000003
-0.169928,-0.026773482
-0.167952,-0.026392684000000003
-0.16597599999999998,-0.026196686000000004
-0.16399999999999998,-0.026571882000000005
-0.162024,-0.026594282000000004
-0.160048,-0.026583082000000004
-0.158072,-0.026577482000000003
-0.15609699999999999,-0.026252686000000004
-0.15412099999999998,-0.026392684000000003
-0.152145,-0.026644682000000003
-0.150169,-0.026336684000000003
-0.148193,-0.026263884
-0.14621699999999999,-0.026549482000000003
-0.14424099999999998,-0.026560682000000002
-0.142265,-0.026454284
-0.140289,-0.026280684000000002
-0.138313,-0.026073484000000004
-0.13633699999999999,-0.02701428
-0.13436099999999998,-0.026235884000000004
-0.132386,-0.026448682
-0.13041,-0.026599882000000002
-0.128434,-0.026700682000000003
-0.126458,-0.026504682
-0.124482,-0.026459882
-0.12250599999999999,-0.026672684000000002
-0.12053,-0.026627884
-0.11855399999999999,-0.026448682
-0.116578,-0.026331084000000005
-0.114602,-0.026767882
-0.11262599999999999,-0.026510284000000002
-0.110651,-0.026510284000000002
-0.108675,-0.026639084
-0.10669899999999999,-0.026566284000000003
-0.104723,-0.026784682000000004
-0.10274699999999999,-0.026611082
-0.100771,-0.026275084
-0.098795568,-0.027031080000000002
-0.096819664,-0.026392684000000003
-0.09484374400000001,-0.026555084000000003
-0.09286784000000001,-0.026706284000000004
-0.09089192800000001,-0.026762282000000002
-0.088916008,-0.026639084
-0.086940104,-0.026879882
-0.08496419200000001,-0.026767882
-0.08298828000000001,-0.026532684
-0.081012368,-0.026986282
-0.079036456,-0.026454284
-0.07706054400000001,-0.026835082
-0.075084632,-0.026476684
-0.073108728,-0.02689108
